APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
27.333333333333332,0.0,0,0,05:10,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
20.0,0.0,0,0,05:13,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
26.0,0.0,0,0,05:17,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
30.666666666666668,0.0,0,0,05:21,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
32.0,0.0,0,0,05:24,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
26.0,0.0,0,0,05:28,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
27.333333333333332,0.0,0,0,05:31,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
29.666666666666668,0.0,-1,0,05:35,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.666666666666668,0.0,0,0,05:39,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
31.666666666666668,0.0,-1,0,05:43,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
36.0,0.0,0,0,05:48,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
53.333333333333336,0.0,0,0,05:51,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
44.666666666666664,0.0,0,0,05:55,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
38.0,0.0,0,0,05:58,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
30.0,0.0,0,0,06:02,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
36.0,76.33333333333333,20,0,06:06,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
50.666666666666664,145.66666666666666,80,0,06:09,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
59.0,81.66666666666667,123,0,06:13,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
48.333333333333336,45.0,117,0,06:16,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
24.0,18.333333333333332,64,0,06:20,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
13.0,5.0,33,0,06:24,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
9.666666666666666,1.6666666666666667,13,0,06:27,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
12.333333333333334,0.0,3,0,06:31,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
22.333333333333332,0.0,1,0,06:34,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
25.333333333333332,0.0,0,0,06:38,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.0,0.0,0,0,06:42,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
27.333333333333332,0.0,0,0,06:45,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.666666666666668,0.0,0,0,06:49,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
32.666666666666664,0.0,0,0,06:52,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
40.0,0.0,0,0,06:56,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
52.0,0.0,0,0,06:59,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
57.0,0.0,1,0,07:03,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
46.0,0.0,0,0,07:07,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
38.0,0.0,0,0,07:10,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
26.666666666666668,0.0,0,0,07:14,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
26.666666666666668,0.0,-2,0,07:17,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
26.0,0.0,0,0,07:22,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.0,0.0,0,0,07:26,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
23.333333333333332,0.0,0,0,07:29,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
24.666666666666668,0.0,-2,0,07:33,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.666666666666668,0.0,0,0,07:37,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
30.666666666666668,0.0,4,0,07:40,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
35.666666666666664,0.0,-1,0,07:44,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
45.0,0.0,1,0,07:48,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
46.666666666666664,0.0,0,0,07:51,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
47.333333333333336,0.0,0,0,07:55,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
43.333333333333336,0.0,0,0,07:58,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
36.0,0.0,0,0,08:02,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
26.666666666666668,25.0,2,0,08:05,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
37.0,95.0,39,0,08:09,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
50.666666666666664,108.33333333333333,92,0,08:13,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
55.0,69.66666666666667,113,0,08:16,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
40.333333333333336,45.0,93,0,08:20,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
25.0,15.0,59,0,08:24,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
16.333333333333332,6.666666666666667,33,0,08:27,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
11.333333333333334,3.3333333333333335,12,0,08:31,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
16.666666666666668,1.6666666666666667,6,0,08:34,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
21.666666666666668,0.0,3,0,08:38,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.333333333333332,0.0,1,0,08:42,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.0,0.0,0,0,08:45,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
25.333333333333332,0.0,0,0,08:49,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
20.666666666666668,0.0,0,0,08:52,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
25.333333333333332,0.0,0,0,08:56,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
40.0,0.0,0,0,09:01,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
50.0,0.0,0,0,09:05,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
46.666666666666664,0.0,0,0,09:08,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
37.333333333333336,0.0,0,0,09:12,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
30.666666666666668,0.0,0,0,09:16,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.0,0.0,0,0,09:19,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
29.666666666666668,0.0,-1,0,09:23,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
29.666666666666668,0.0,3,0,09:27,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
34.666666666666664,0.0,0,0,09:30,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
38.0,0.0,0,0,09:34,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
31.333333333333332,0.0,0,0,09:37,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
32.0,0.0,0,0,09:41,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
32.666666666666664,0.0,0,0,09:44,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
46.0,0.0,0,0,09:48,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
45.0,0.0,1,0,09:52,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
46.666666666666664,0.0,0,0,09:55,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
36.666666666666664,0.0,0,0,09:59,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
32.0,0.0,2,0,10:02,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
22.666666666666668,18.333333333333332,2,0,10:06,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
24.333333333333332,65.0,21,0,10:10,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
43.333333333333336,100.0,64,0,10:13,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
54.333333333333336,86.0,93,0,10:17,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
48.666666666666664,43.333333333333336,94,0,10:21,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
34.0,28.333333333333332,68,0,10:24,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
19.333333333333332,13.333333333333334,42,0,10:28,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
10.666666666666666,6.666666666666667,26,0,10:31,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
6.333333333333333,1.6666666666666667,9,0,10:35,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
18.333333333333332,1.6666666666666667,5,0,10:38,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
29.666666666666668,0.0,1,0,10:42,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
36.333333333333336,0.0,1,0,10:46,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
43.666666666666664,0.0,-1,0,10:49,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
43.333333333333336,0.0,0,0,10:53,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
36.666666666666664,0.0,0,0,10:57,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
32.0,0.0,0,0,11:01,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
41.333333333333336,0.0,-4,0,11:04,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
46.666666666666664,0.0,0,0,11:08,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
48.666666666666664,0.0,0,0,11:11,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
37.333333333333336,0.0,0,0,11:15,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
28.666666666666668,0.0,0,0,11:19,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
29.333333333333332,0.0,0,0,11:22,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
27.0,0.0,1,0,11:26,0
APS,ABPS,SUBARP,MISS_MAC,TIME,CLASS
24.666666666666668,0.0,0,0,11:29,0
